service_id,date,exception_type
WK_F,20140901,2
B,20140901,1
WK_F,20141123,2
B,20141123,1
WK_F,20141124,2
B,20141124,1
WK_F,20141125,2
B,20141125,1
WK_F,20141126,2
B,20141126,1
WK_F,20141127,2
B,20141127,1
WK_F,20141128,2
B,20141128,1
WK_F,20141129,2
B,20141129,1
B,20141225,2
B,20150101,2
WK_S,20150315,2
B,20150315,1
WK_S,20150316,2
B,20150316,1
WK_S,20150317,2
B,20150317,1
WK_S,20150318,2
B,20150318,1
WK_S,20150319,2
B,20150319,1
WK_S,20150320,2
B,20150320,1
WK_S,20150321,2
B,20150321,1
