trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,7:00:00,7:00:00,18,1,,0,0,
1,7:02:00,7:02:00,19,2,,0,0,
1,7:04:00,7:04:00,20,3,,0,0,
2,6:45:00,6:45:00,45,1,,0,0,
2,6:46:00,6:46:00,46,2,,0,0,
2,6:47:00,6:47:00,44,3,,0,0,
2,6:49:00,6:49:00,43,4,,0,0,
2,6:52:00,6:52:00,7,5,,0,0,
2,6:53:00,6:53:00,8,6,,0,0,
2,6:54:00,6:54:00,9,7,,0,0,
2,6:55:00,6:55:00,10,8,,0,0,
2,6:57:00,6:57:00,26,9,,0,0,
2,6:58:00,6:58:00,27,10,,0,0,
2,7:00:00,7:00:00,41,11,,0,0,
2,7:03:00,7:03:00,42,12,,0,0,
2,7:06:00,7:06:00,36,13,,0,0,
2,7:07:00,7:07:00,37,14,,0,0,
2,7:09:00,7:09:00,16,15,,0,0,
2,7:10:00,7:10:00,17,16,,0,0,
2,7:12:00,7:12:00,18,17,,0,0,
2,7:14:00,7:14:00,19,18,,0,0,
2,7:16:00,7:16:00,20,19,,0,0,
3,6:59:00,6:59:00,43,1,,0,0,
3,7:02:00,7:02:00,7,2,,0,0,
3,7:03:00,7:03:00,8,3,,0,0,
3,7:04:00,7:04:00,9,4,,0,0,
3,7:05:00,7:05:00,10,5,,0,0,
3,7:07:00,7:07:00,26,6,,0,0,
3,7:09:00,7:09:00,27,7,,0,0,
3,7:12:00,7:12:00,41,8,,0,0,
3,7:15:00,7:15:00,42,9,,0,0,
3,7:18:00,7:18:00,36,10,,0,0,
3,7:19:00,7:19:00,37,11,,0,0,
3,7:21:00,7:21:00,16,12,,0,0,
3,7:22:00,7:22:00,17,13,,0,0,
3,7:24:00,7:24:00,18,14,,0,0,
3,7:26:00,7:26:00,19,15,,0,0,
3,7:28:00,7:28:00,20,16,,0,0,
4,7:04:00,7:04:00,20,1,,0,0,
4,7:05:00,7:05:00,47,2,,0,0,
4,7:07:00,7:07:00,45,3,,0,0,
4,7:08:00,7:08:00,46,4,,0,0,
4,7:09:00,7:09:00,44,5,,0,0,
4,7:11:00,7:11:00,43,6,,0,0,
4,7:14:00,7:14:00,7,7,,0,0,
4,7:15:00,7:15:00,8,8,,0,0,
4,7:16:00,7:16:00,9,9,,0,0,
4,7:17:00,7:17:00,10,10,,0,0,
4,7:19:00,7:19:00,26,11,,0,0,
4,7:21:00,7:21:00,27,12,,0,0,
4,7:24:00,7:24:00,41,13,,0,0,
4,7:27:00,7:27:00,42,14,,0,0,
4,7:30:00,7:30:00,36,15,,0,0,
4,7:31:00,7:31:00,37,16,,0,0,
4,7:33:00,7:33:00,16,17,,0,0,
4,7:34:00,7:34:00,17,18,,0,0,
4,7:36:00,7:36:00,18,19,,0,0,
4,7:38:00,7:38:00,19,20,,0,0,
4,7:40:00,7:40:00,20,21,,0,0,
5,7:16:00,7:16:00,20,1,,0,0,
5,7:17:00,7:17:00,47,2,,0,0,
5,7:19:00,7:19:00,45,3,,0,0,
5,7:20:00,7:20:00,46,4,,0,0,
5,7:21:00,7:21:00,44,5,,0,0,
5,7:23:00,7:23:00,43,6,,0,0,
